quarter,date,datacenter,gaming,other,total
FY19 Q1,2018-04-29,701,1723,783,3207
FY19 Q2,2018-07-29,760,1805,558,3123
FY19 Q3,2018-10-28,792,1764,625,3181
FY19 Q4,2019-01-27,679,954,572,2205
FY20 Q1,2019-04-28,634,1055,531,2220
FY20 Q2,2019-07-28,655,1313,611,2579
FY20 Q3,2019-10-27,726,1659,629,3014
FY20 Q4,2020-01-26,968,1491,646,3105
FY21 Q1,2020-04-26,1141,1339,600,3080
FY21 Q2,2020-07-26,1752,1654,460,3866
FY21 Q3,2020-10-25,1900,2271,555,4726
FY21 Q4,2021-01-31,1903,2495,605,5003
FY22 Q1,2021-05-02,2048,2760,853,5661
FY22 Q2,2021-08-01,2366,3061,1080,6507
FY22 Q3,2021-10-31,2936,3221,946,7103
FY22 Q4,2022-01-30,3263,3420,960,7643
FY23 Q1,2022-05-01,3750,3620,918,8288
FY23 Q2,2022-07-31,3806,2042,856,6704
FY23 Q3,2022-10-30,3833,1574,524,5931
FY23 Q4,2023-01-29,3616,1831,604,6051
FY24 Q1,2023-04-30,4284,2240,668,7192
FY24 Q2,2023-07-30,10323,2486,698,13507
FY24 Q3,2023-10-29,14514,2856,750,18120
FY24 Q4,2024-01-28,18404,2865,834,22103
FY25 Q1,2024-04-28,22563,2647,834,26044
FY25 Q2,2024-07-28,26272,2880,888,30040
FY25 Q3,2024-10-27,30771,3279,1032,35082
FY25 Q4,2025-01-26,35580,2544,1207,39331
FY26 Q1,2025-04-27,39112,3763,1187,44062
FY26 Q2,2025-07-27,41096,4287,1360,46743
FY26 Q3,2025-10-26,51215,4265,1526,57006
FY26 Q4,2026-01-25,62314,3668,2145,68127
